timestamp,market_cap
1483676820000,18433000000.0
1483763220000,15680700000.0
1483849620000,17443000000.0
1483936020000,16678300000.0
1484022420000,17022900000.0
1484108820000,17205700000.0
1484195220000,14717600000.0
1484281620000,14944100000.0
1484368020000,15571700000.0
1484454420000,15595000000.0
1484540820000,15742400000.0
1484627220000,16166300000.0
1484713620000,16951600000.0
1484800020000,16828200000.0
1484886420000,16929000000.0
1484972820000,17363900000.0
1485059220000,17681800000.0
1485145620000,17398700000.0
1485232020000,17378700000.0
1485318420000,17054100000.0
1485404820000,17134500000.0
1485491220000,17338700000.0
1485577620000,17434400000.0
1485664020000,17485200000.0
1485750420000,17486800000.0
1485836820000,17516500000.0
1485923220000,18438300000.0
1486009620000,18603000000.0
1486096020000,19342100000.0
1486182420000,19320600000.0
1486268820000,19597500000.0
1486355220000,19529000000.0
1486441620000,19715400000.0
1486528020000,20313900000.0
1486614420000,20467900000.0
1486700820000,18528300000.0
1486787220000,18841100000.0
1486873620000,18893400000.0
1486960020000,18908700000.0
1487046420000,18769100000.0
1487132820000,19132200000.0
1487219220000,19314800000.0
1487305620000,19561100000.0
1487392020000,19959400000.0
1487478420000,19905500000.0
1487564820000,19779400000.0
1487651220000,20284800000.0
1487737620000,20754300000.0
1487824020000,20958700000.0
1487910420000,22358600000.0
1487996820000,21847300000.0
1488083220000,21361100000.0
1488169620000,22021400000.0
1488256020000,22197700000.0
1488342420000,22404300000.0
1488428820000,23204200000.0
1488515220000,24119400000.0
1488601620000,24477900000.0
1488688020000,23957100000.0
1488774420000,24261300000.0
1488860820000,24429300000.0
1488947220000,22987300000.0
1489033620000,22148800000.0
1489120020000,23027100000.0
1489206420000,22360300000.0
1489292820000,23309900000.0
1489379220000,24637800000.0
1489465620000,24962000000.0
1489552020000,25272800000.0
1489638420000,26675300000.0
1489724820000,25544700000.0
1489811220000,24361200000.0
1489897620000,22578600000.0
1489984020000,24047800000.0
1490070420000,24496700000.0
1490156820000,24795400000.0
1490243220000,23762300000.0
1490329620000,23676700000.0
1490416020000,22704400000.0
1490502420000,23363400000.0
1490588820000,23796500000.0
1490675220000,24491000000.0
1490761620000,24555100000.0
1490848020000,25024900000.0
1490934420000,25246800000.0
1491020820000,25779200000.0
1491107220000,26108300000.0
1491193620000,27582600000.0
1491280020000,27085800000.0
1491366420000,27278100000.0
1491452820000,27244900000.0
1491539220000,27415100000.0
1491625620000,27663700000.0
1491712020000,27843200000.0
1491798420000,27803300000.0
1491884820000,27976200000.0
1491971220000,28233400000.0
1492057620000,28862400000.0
1492144020000,28527700000.0
1492230420000,28258100000.0
1492316820000,28814500000.0
1492403220000,28717900000.0
1492489620000,29291400000.0
1492576020000,29635600000.0
1492662420000,29326700000.0
1492748820000,29771300000.0
1492835220000,29781400000.0
1492921620000,29791500000.0
1493008020000,29802400000.0
1493094420000,30697200000.0
1493180820000,31116300000.0
1493267220000,31816900000.0
1493353620000,33907500000.0
1493440020000,34997500000.0
1493526420000,35381500000.0
1493612820000,37753000000.0
1493699220000,38307500000.0
1493785620000,38681300000.0
1493872020000,40779400000.0
1493958420000,45856800000.0
1494044820000,45624700000.0
1494131220000,46398200000.0
1494217620000,50528800000.0
1494304020000,52143700000.0
1494390420000,52618100000.0
1494476820000,52147300000.0
1494563220000,53641400000.0
1494649620000,51855900000.0
1494736020000,55217300000.0
1494822420000,55222300000.0
1494908820000,56057800000.0
1494995220000,60850900000.0
1495081620000,61922800000.0
1495168020000,65221500000.0
1495254420000,68749500000.0
1495340820000,71962300000.0
1495427220000,76598000000.0
1495513620000,78123900000.0
1495600020000,85389000000.0
1495686420000,85380400000.0
1495772820000,81920800000.0
1495859220000,70452100000.0
1495945620000,73911400000.0
1496032020000,70987200000.0
1496118420000,79729800000.0
1496204820000,77165200000.0
1496291220000,85334300000.0
1496377620000,89250500000.0
1496464020000,89024200000.0
1496550420000,90342600000.0
1496636820000,94211200000.0
1496723220000,99937200000.0
1496809620000,102288000000.0
1496896020000,99832700000.0
1496982420000,102532000000.0
1497068820000,105403000000.0
1497155220000,109537000000.0
1497241620000,114041000000.0
1497328020000,110837000000.0
1497414420000,115748000000.0
1497500820000,104547000000.0
1497587220000,103344000000.0
1497673620000,108672000000.0
1497760020000,112669000000.0
1497846420000,111942000000.0
1497932820000,114185000000.0
1498019220000,114268000000.0
1498105620000,110040000000.0
1498192020000,111284000000.0
1498278420000,114745000000.0
1498364820000,108831000000.0
1498451220000,106617000000.0
1498537620000,98524500000.0
1498624020000,99545300000.0
1498710420000,106506000000.0
1498796820000,101957000000.0
1498883220000,98271200000.0
1498969620000,93246700000.0
1499056020000,98671400000.0
1499142420000,102943000000.0
1499228820000,100565000000.0
1499315220000,101187000000.0
1499401620000,100194000000.0
1499488020000,93357300000.0
1499574420000,97273600000.0
1499660820000,92991000000.0
1499747220000,80088500000.0
